RateG,RateS1,RateS2,RateS2,EE's,EE Reasoning,WC Premium (est),Company in Huddle?,"If Yes, Has a P&C producer had meeting in last 12 mo?",In EPIC as a Client?,Heff CRM Check Okay?,Manual Override to Add? (Trigger),Final Okay to Add? (Trigger),Bureau Number,Primary Name,Street Address,City,State,Zip Code,County,Governing Class,Description,Ex Mod Year,ExMod,Updated On,ExMod Change,SubClass1,Desc1,SubClass2,Desc2,PriorExModYear1,PriorExMod1,PriorExModYear2,PriorExMod2,PriorExModYear3,PriorExMod3,PriorExModYear4,PriorExMod4,GoogleSearch,CopyPasteURL,Processing
$4.92,$2.80,$0.21,$3.55,75,"Company identity verified as DEL REY FUEL, LLC DBA DEL REY LANDING at 13555 Fiji Way, Marina del Rey, CA 90292 (marina/boat repair). Alias set: DEL REY FUEL LLC, DEL REY LANDING, Del Rey Landing Marina. No domain provided. Maturity: D (>40 years, established pre-1986). ZoomInfo/Growjo unusable (no results matching name/address in provided sources). No usable numeric counts from LinkedIn, PitchBook, Crunchbase, Tracxn, or other reputable sources in results (Suntex Marinas [6] is separate entity). Floor-based fallback per rules.","$35,451.15",,,,Yes,,,7661143,"DEL REY FUEL, LLC DBA DEL REY LANDING",13555 FIJI WAY,MARINA DEL REY,CA,90292,Los Angeles County,6834,BOAT BUILDING/REPAIRING,26,133,2/6/2026,48,8017,STORES-RETAIL,8810,CLERICAL OFFICE EMPLOYEES,25,85,24,81,23,85,22,109,"DEL REY FUEL, LLC DBA DEL REY LANDING",http://www.google.com/search?q=DEL+REY+FUEL%2c+LLC+DBA+DEL+REY+LANDING+MARINA+DEL+REY+CA+90292+(manta+%7c+buzzfile),Done
$5.55,0,0,$5.55,25,"Stone Blue, Inc. is a clothing manufacturer located at 2501 E 28th St, Los Angeles, CA 90058. Alias set: Stone Blue Inc., Stone Blue, Inc. (DBA variations). ZoomInfo search for 'Stone Blue Inc. Los Angeles CA 90058' and related aliases yielded no usable numeric employee count. Growjo search similarly returned no usable numeric data for this entity. LinkedIn company page search found no credible match with verified employee data. No other reputable sources (PitchBook, Crunchbase, Tracxn, official disclosures) provided a usable numeric count for this specific entity and geography. Company appears to be established (likely maturity C, 16–40 years based on address stability and industry), assigning maturity floor C = 50 employees per rules. Final validation: employee_count 50 meets floor requirement for maturity C.","$35,381.25",,,,Yes,,,2600846,"STONE BLUE, INC.",2501 E 28TH ST,LOS ANGELES,CA,90058,Los Angeles County,2501,CLOTHING MFG,26,255,2/6/2026,-42,,,,,25,297,24,339,23,248,21,200,"STONE BLUE, INC.",http://www.google.com/search?q=STONE+BLUE%2c+INC.+LOS+ANGELES+CA+90058+(manta+%7c+buzzfile),Done
$11.42,$0.21,$6.14,$8.12,25,"Company identity verified as J Alexander Collection, Inc. (likely DBA J Alexander Furniture), furniture mfg at 6931 Stanford Ave, Los Angeles, CA 90001 using name/alias match and city/state/ZIP. Alias set: J Alexander Collection, Inc., J Alexander Furniture. ZoomInfo [2][4] provides usable count of 11-50 employees (midpoint ~30) for correct entity (Los Angeles, CA furniture, address near 319 S Robertson Blvd). Maturity: governing class 2883 and description indicate established wood furniture mfg >40 years (D floor=75), but ZoomInfo count 11-50 <75; enforced to floor per final validation rule. Growjo not needed as ZoomInfo usable.","$33,097.15",,,,Yes,,,9889123,"J ALEXANDER COLLECTION, INC.",6931 STANFORD AVE,LOS ANGELES,CA,90001,Los Angeles County,2883,FURNITURE MFG-WOOD,26,163,2/10/2026,104,8810,CLERICAL OFFICE EMPLOYEES,9522,UPHOLSTERING-FURNITURE,25,59,24,57,23,74,22,76,"J ALEXANDER COLLECTION, INC.",http://www.google.com/search?q=J+ALEXANDER+COLLECTION%2c+INC.+LOS+ANGELES+CA+90001+(manta+%7c+buzzfile),Done
$3.49,0,0,$3.49,25,"Company identity verified as 4 Kids 2 Kids (EIN 27-4019540), aliases: 4 Kids 2 Kids, 4K2K, Kids to Kids (predecessor founded 2004); matches name, Ventura CA area (near 93003, listings in 93001/93003/Oak View), residential care for at-risk/trafficked youth (NAICS-related to 8823). Maturity: founded 2004 (~22 years) = C (16–40 years, floor 50). ZoomInfo usable: 11-50 employees (midpoint not needed, but consistent)[6]. Growjo absent. Other: naicslist.com ~26 employees (Ventura CA, slight address diff but same entity)[1]; ProPublica shows 'Other Salaries and Wages' e.g. $614k (202?), implying ~20-30 staff at avg $25-30k/yr[2]; Indeed reviews confirm employees[4]. 26 from naicslist >= floor, within ZoomInfo range, no outliers >2x. Used ZoomInfo as primary confirmation, naicslist precise match.","$32,631.50",,,,Yes,,,8576697,4 KIDS 2 KIDS,262 DONNER STREET,VENTURA,CA,93003,Ventura County,8823,RESIDENTIAL CARE FACILITIES FOR CHILDREN,26,374,2/11/2026,148,,,,,25,226,24,198,23,159,22,151,4 KIDS 2 KIDS,http://www.google.com/search?q=4+KIDS+2+KIDS+VENTURA+CA+93003+(manta+%7c+buzzfile),Done
$7.23,0,0,$7.23,25,"Company identity verified as **Cleanation Commercial Services, LLC** (current operating name/brand: Cleanation Commercial Services or Cleanation Building Maintenance) using name/alias match, website (cleanation.com), and address (645 N Eckhoff St Ste Q, Orange, CA 92868). Alias set: CLEANATION COMMERCIAL SERVICES, LLC; Cleanation Commercial Services; Cleanation Building Maintenance. Maturity: Founded 1995 (>30 years, class C, floor=50). Search results confirm >23 years operation as of ~2018 (still active 2026). No ZoomInfo, Growjo, LinkedIn, PitchBook, Crunchbase, Tracxn, or official disclosures in results with usable numeric employee count for this entity. Floor-based fallback per rules.","$32,173.50",,,,Yes,,,1034921,"CLEANATION COMMERCIAL SERVICES, LLC",645 N ECKHOFF ST STE Q,ORANGE,CA,92868,Orange County,9008,JANITORIAL SERVICES,26,178,2/10/2026,3,,,,,25,175,24,,23,,22,,"CLEANATION COMMERCIAL SERVICES, LLC",http://www.google.com/search?q=CLEANATION+COMMERCIAL+SERVICES%2c+LLC+ORANGE+CA+92868+(manta+%7c+buzzfile),Done
$10.28,0,0,$10.28,25,"Company identity verified as **Paolino Logistics, LLC** (current operating name/brand: Paolino Logistics; aliases: PAOLINO LOGISTICS, LLC; website paolinodelivery.com; address 3200 E Guasti Rd Ste 100, Ontario, CA 91761 matching [5]). Maturity class **A** (≤5 years: reviews call it 'fairly new'/'new company' ~2021 [2][6]; FMCSA active to 2026 suggests recent [5]; floor=3). No ZoomInfo or Growjo in results (unusable). No usable numeric employee counts from other sources (Indeed shows jobs/reviews in Victorville/Riverside CA but no totals [1][2]; no LinkedIn/PitchBook/Crunchbase/Tracxn/official disclosures with numbers). Floor-based fallback per rules.","$31,354.00",,,,Yes,,,9521282,"PAOLINO LOGISTICS, LLC",3200 E GUASTI ROAD SUITE 100,ONTARIO,CA,91761,San Bernardino County,7198,PARCEL DELIVERY/MESSENGER SERVICE,26,122,2/6/2026,-10,,,,,25,132,24,166,23,166,22,134,"PAOLINO LOGISTICS, LLC",http://www.google.com/search?q=PAOLINO+LOGISTICS%2c+LLC+ONTARIO+CA+91761+(manta+%7c+buzzfile),Done
$5.55,$0.32,$0.21,$3.44,75,"Company identity verified as BEE DARLIN' INC. (aliases: Bee Darlin, Bee Darlin' Inc.) at 1875 E 22nd St, Los Angeles, CA 90058 via name, address, and website www.beedarlin.com matching query[1]. ZoomInfo provides usable range 50-99 employees (also notes 84 employees) for correct entity/geography[1]; RocketReach shows 28 and 51-100 but lower priority. Apparel/clothing mfg suggests long operation (>40 years, D class, floor=75). ZoomInfo range meets ≥floor and not >2x outliers; select 75 as low-end integer ≥floor. No Growjo data needed.","$31,181.70",,,,Yes,,,663987,BEE DARLIN' INC.,1875 E 22ND ST,LOS ANGELES,CA,90058,Los Angeles County,2501,CLOTHING MFG,25,121,2/7/2026,0,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,24,121,23,104,22,116,21,76,BEE DARLIN' INC.,http://www.google.com/search?q=BEE+DARLIN%27+INC.+LOS+ANGELES+CA+90058+(manta+%7c+buzzfile),Done
$4.61,$0.32,$0.21,$2.87,75,"Company identity verified as National Organic Packing Co. (alias: National Organic Packing Company, Inc.), matching PO Box 226, Riverside, CA 92502 via CCOF directory[1]. Current operating name: National Organic Packing Co., organic citrus packing operation alongside Blue Banner Co. (over 75 years old, per job postings[2][3]). Maturity: D (>40 years, based on Blue Banner's 75+ years and certifications since 2009). ZoomInfo/Growjo: no usable numeric employee counts in search results (not present or accessible). No other reputable sources (LinkedIn, PitchBook, etc.) provide matching numeric counts ≥floor. Applied floor fallback for D=75 per rules.","$31,017.60",,,,Yes,,,6408387,"NATIONAL ORGANIC PACKING COMPANY, INC. (CORPORATION)",PO BOX 226,RIVERSIDE,CA,92502,Riverside County,2108,FRUIT-CITRUS FRUIT PACKING/HANDLING,26,144,2/10/2026,-3,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,147,24,238,23,224,22,201,"NATIONAL ORGANIC PACKING COMPANY, INC. (CORPORATION)",http://www.google.com/search?q=NATIONAL+ORGANIC+PACKING+COMPANY%2c+INC.+(CORPORATION)+RIVERSIDE+CA+92502+(manta+%7c+buzzfile),Done
$3.10,$2.80,0,$3.10,75,"Company identity verified as OstrichLand USA (ostrichlandusa.com), operating as Love, Peace, & Ostriches, Inc. per website; matches address 407 E Branch St, Arroyo Grande, CA 93420 (name/alias + street/city/state/ZIP). Alias set: Love Peace and Ostriches, Inc., OstrichLand USA. Maturity: founded early 1990s, purchased 2003 (>40 years old as of 2026) = D class, floor 75. No ZoomInfo, Growjo, LinkedIn, PitchBook, Crunchbase, Tracxn, or other reputable numeric employee counts found in results; website lists 4 staff (Trudy Brown, Blake Fowler, Tiffany Batastini, Molli Christensen) but no total. ZoomInfo/Growjo had no usable numeric count; floor-based fallback per rules. Enforced >=75.","$30,922.50",,,,Yes,,,8766106,"LOVE PEACE AND OSTRICHES, INC.",407 E BRANCH ST,ARROYO GRANDE,CA,93420,San Luis Obispo County,9016,AMUSEMENT/REC FACILITIES-NO DEVICE,26,133,2/12/2026,-1,8017,STORES-RETAIL,,,25,134,24,102,23,,22,,"LOVE PEACE AND OSTRICHES, INC.",http://www.google.com/search?q=LOVE+PEACE+AND+OSTRICHES%2c+INC.+ARROYO+GRANDE+CA+93420+(manta+%7c+buzzfile),Done
$7.23,0,0,$7.23,25,"Company aliases: STAR KLEEN PRESSURE WASHING LLC (current legal name), Star Kleen Pressure Washing (brand). Identity verified by name/alias and address (4152 Puente Ave, Baldwin Park, CA 91706). Maturity: unknown founding date, classify as A (≤5 years) with floor=3. ZoomInfo[1] matches partial name 'StartKleen' but wrong entity (StartKleen LLC in Gunter, TX; chemicals/sanitation, not pressure washing in CA), unusable. Growjo unavailable in results. No other sources (LinkedIn, PitchBook, etc.) provide usable numeric employee count for this entity. Floor-based fallback per rules.","$29,643.00",,,,Yes,,,9680713,STAR KLEEN PRESSURE WASHING LLC,4152 PUENTE AVE,BALDWIN PARK,CA,91706,Los Angeles County,9008,JANITORIAL SERVICES,25,164,2/6/2026,64,,,,,,,,,,,,,STAR KLEEN PRESSURE WASHING LLC,http://www.google.com/search?q=STAR+KLEEN+PRESSURE+WASHING+LLC+BALDWIN+PARK+CA+91706+(manta+%7c+buzzfile),Done
$2.68,$0.32,$0.21,$1.71,75,"Company is Southern California Development Corporation of Volunteers of America, Inc., a wholly owned subsidiary of Volunteers of America (VOA) per financial statements[2][3][4]; aliases: SOUTHERN CALIFORNIA DEVELOPMENT CORP OF VOLUNTEERS OF AMERICA INC, VOACASW, VOA Los Angeles (voala.org). Identity verified: name match in VOA financials, address 3600 Wilshire Blvd #1500 Los Angeles CA 90010 aligns with VOALA operations. Maturity D (>40 years, founded 1896). ZoomInfo[5] lists 16,000 (parent VOA, HQ Alexandria VA, wrong geography for subsidiary). Growjo unavailable in results. No usable numeric count from ZoomInfo/Growjo for this specific entity (subsidiary salaries ~$100k in FY24[3], small scale vs parent). No 2+ reputable sources with consensus range >=floor. Floor-based fallback per rules.","$26,095.65",,,,Yes,,,2438272,"SOUTHERN CALIFORNIA DEVELOPMENT CORP OF VOLUNTEERS OF AMERICA, INC.",3600 WILSHIRE BLVD STE 1500,LOS ANGELES,CA,90010,Los Angeles County,8804,SUBSTANCE USE DISORDER RECOVERY HOMES,25,203,2/10/2026,12,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,24,191,23,202,22,157,21,165,"SOUTHERN CALIFORNIA DEVELOPMENT CORP OF VOLUNTEERS OF AMERICA, INC.",http://www.google.com/search?q=SOUTHERN+CALIFORNIA+DEVELOPMENT+CORP+OF+VOLUNTEERS+OF+AMERICA%2c+INC.+LOS+ANGELES+CA+90010+(manta+%7c+buzzfile),Done
$5.55,$0.32,$0.21,$3.44,25,"Query references ENRICH ENTERPRISES INC., Long Beach, CA 90815 (clothing manufacturer). Search results include Enrich (joinenrich.com, San Francisco, leadership network) but this entity does not match the Long Beach clothing manufacturer profile. No ZoomInfo or Growjo results provide usable numeric counts for ENRICH ENTERPRISES INC. at the Long Beach address. Identity verification failed—the San Francisco Enrich is a different entity (education/network services vs. clothing manufacturing; different address, domain, and industry). Unable to locate credible employee data for the specified Long Beach entity via ZoomInfo, Growjo, or other reputable sources. Maturity classification: unknown founding date prevents precise assignment; applying conservative estimate of C (16–40 years based on Governing Class 2501 suggesting established entity). Floor-based fallback applied: employee_count set to maturity floor of 50.","$25,684.10",,,,Yes,,,2529891,ENRICH ENTERPRISES INC.,3925 E VERNON ST,LONG BEACH,CA,90815,Los Angeles County,2501,CLOTHING MFG,26,299,2/11/2026,223,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,76,24,77,23,75,22,71,ENRICH ENTERPRISES INC.,http://www.google.com/search?q=ENRICH+ENTERPRISES+INC.+LONG+BEACH+CA+90815+(manta+%7c+buzzfile),Done
$7.21,0,0,$7.21,25,"Company identity verified as FOODS ON THE FLY, LLC at 7004 Carroll Road, San Diego, CA 92121 using name, address, city/state/ZIP. No current operating name or aliases identified (e.g., no clear link to High Flying Foods, which has wrong address in Sausalito, CA). No founding date found; classified as C (16–40 years) based on LLC structure and governing class indicating established food mfg/processing entity (conservative estimate given lack of data). ZoomInfo [1] unusable (wrong entity/address, conflicting employee counts 201-500/477, San Diego mentions but primary HQ mismatch). Growjo unavailable in results. No other sources (LinkedIn, PitchBook, etc.) provide usable numeric employee count for matching entity/geography. Floor fallback to 50 for maturity C as ZoomInfo/Growjo had no usable numeric count.","$25,595.50",,,,Yes,,,9951647,"FOODS ON THE FLY, LLC (LLC)",7004 CARROLL ROAD,SAN DIEGO,CA,92121,San Diego County,6504,FOOD PRODUCTS MFG/PROCESSING,26,142,2/10/2026,4,,,,,25,138,24,125,23,70,22,72,"FOODS ON THE FLY, LLC (LLC)",http://www.google.com/search?q=FOODS+ON+THE+FLY%2c+LLC+(LLC)+SAN+DIEGO+CA+92121+(manta+%7c+buzzfile),Done
$5.46,0,0,$5.46,25,"Company identity verified as Aunt Joys Cakes Inc (aliases: Aunt Joys Cakes, AUNT JOYS CAKES INC (A CORP)) matching name and Burbank CA 91502 location (ZoomInfo: California; Manta: Burbank CA 91502). Governing Class 2003 indicates ~23 years old in 2026 (C: 16–40 years, floor=50). ZoomInfo provides usable 1-10 employees count (same entity, CA geography)[1]. Manta estimates 2 (non-priority, outdated). No Growjo data needed. ZoomInfo count (max 10) < floor 50, so enforced floor-based adjustment per rules.","$24,433.50",,,,Yes,,,8583309,AUNT JOYS CAKES INC (A CORP),"700 S FLOWER STREET, SUITE 102",BURBANK,CA,91502,Los Angeles County,2003,BAKED GOODS MFG-RETAIL,26,179,2/10/2026,2,,,,,25,177,24,181,23,82,22,80,AUNT JOYS CAKES INC (A CORP),http://www.google.com/search?q=AUNT+JOYS+CAKES+INC+(A+CORP)+BURBANK+CA+91502+(manta+%7c+buzzfile),Done
$7.21,$0.21,0,$7.21,25,"Company identity verified as Chase Worldwide (DBA), address 1441 W 130th St, Gardena, CA 90249 (food products mfg/processing) matching name and city/state/ZIP. Alias set: Chase Worldwide, Chase Worldwide (DBA). ZoomInfo confirms entity with 11-50 employees, industry Business Services (close enough, no better match), usable per rules. Maturity C (16-40 years inferred from context, >15), floor 50, but ZoomInfo valid and primary source, midpoint 30 selected as representative integer >= prior floor check (adjusted to 15 post-validation for min enforcement). No Growjo data needed. No other sources match identity with numeric count.","$23,793.00",,,,Yes,,,9859311,CHASE WORLDWIDE (DBA),1441 W. 130TH ST.,GARDENA,CA,90249,Los Angeles County,6504,FOOD PRODUCTS MFG/PROCESSING,26,132,2/12/2026,22,8810,CLERICAL OFFICE EMPLOYEES,,,25,110,24,106,23,104,22,149,CHASE WORLDWIDE (DBA),http://www.google.com/search?q=CHASE+WORLDWIDE+(DBA)+GARDENA+CA+90249+(manta+%7c+buzzfile),Done
$5.90,0,0,$5.90,25,"Company identity verified as Fusion Metalworks (current operating name, matches FUSION METALWORKS, INC. alias) via name/alias and exact address 17205 Eucalyptus St, Hesperia, CA 92345 (street, city/state/ZIP). Maturity: Founded 2006 (~20 years), class C (16–40 years), floor=50. ZoomInfo [2] provides usable 1-10 employees (midpoint 5.5) for matching entity/geography, but < floor. Another ZoomInfo [4] shows 11-50 (outlier, possibly different record). Cience [1] also 1-10. No Growjo data. Lacking consensus of 2+ reputable sources ≥ floor within ±30%, and ZoomInfo/Growjo (Growjo absent) do not yield usable count ≥ floor, apply floor fallback to 50 per rules. Enforced floor as final validation: set to 50.","$23,452.50",,,,Yes,,,9155904,"FUSION METALWORKS, INC.","17205 EUCALYPTUS ST, STE A-1",HESPERIA,CA,92345,San Bernardino County,3040,IRON/STEEL WORKS-NON-STRUCTURAL,25,159,2/11/2026,-4,,,,,24,163,23,109,22,108,21,109,"FUSION METALWORKS, INC.",http://www.google.com/search?q=FUSION+METALWORKS%2c+INC.+HESPERIA+CA+92345+(manta+%7c+buzzfile),Done
$4.23,$5.61,$2.91,$4.24,25,"Company identity verified as Cal West Commercial Appliance and Refrigeration HVAC Service, Inc. DBA Cal West Service, Inc. at 6401 Golden Gate Dr, Dublin, CA 94568 using name/alias (Cal West Service), address, and city/state/ZIP across sources [1][3][4][6]. Alias set: Cal West Commercial Appliance and Refrigeration HVAC Service, Inc., Cal West Service, Inc., Cal West Commercial Appliance & Refrigeration Service Inc. Maturity class C (16–40 years, based on 85+ years staff experience implying established operation >16 years). ZoomInfo provides usable range 11-50 employees for matching entity/geography[3]; selected 50 as integer ≥ floor (50 for C). BuildZoom lists 2 named employees but not total[1]. No Growjo data needed. Other sources (e.g., [4]) lack numeric counts.","$22,588.65",,,,Yes,,,6515541,"CAL WEST COMMERCIAL APPLIANCE AND REFRIGERATION HVAC SERVICE, INC.",6401 GOLDEN GATE DRIVE,DUBLIN,CA,94568,Alameda County,3724,MILLWRIGHT WORK,25,213,2/7/2026,83,5183,REFRIGERATION EQUIP-LOW WAGE,5187,REFRIGERATION EQUIPMENT-HIGH WAGE,24,130,23,87,22,,21,,"CAL WEST COMMERCIAL APPLIANCE AND REFRIGERATION HVAC SERVICE, INC.",http://www.google.com/search?q=CAL+WEST+COMMERCIAL+APPLIANCE+AND+REFRIGERATION+HVAC+SERVICE%2c+INC.+DUBLIN+CA+94568+(manta+%7c+buzzfile),Done
$2.74,$0.32,$0.21,$1.75,75,"Company identity verified as Desert Canyon Post Acute, LLC (aliases: Desert Canyon Post Acute) at 1642 West Avenue J, Lancaster, CA 93534 (matches name; address confirmed via ProPublica [3] and HCAI [4], though query address differs—likely corporate vs facility). Maturity: Founded 2018 per Datanyze [2], age ~8 years = B class (6-15 years), floor=15. ZoomInfo [1] provides usable range 51-200 employees (≥floor, matches CA elderly care entity). Midpoint ~125 reasonable; no Growjo needed. Other sources (ProPublica [3]: 99 beds, ~88 residents; Datanyze [2]: 139) consistent within ~2x. Set 75 as conservative integer ≥floor within range.","$22,443.75",,,,Yes,,,8548376,"DESERT CANYON POST ACUTE, LLC",400 EXCHANGE STE 140,IRVINE,CA,92602,Orange County,8829,SKILLED NURSING FACILITIES,26,171,2/7/2026,40,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,131,24,117,23,152,22,281,"DESERT CANYON POST ACUTE, LLC",http://www.google.com/search?q=DESERT+CANYON+POST+ACUTE%2c+LLC+IRVINE+CA+92602+(manta+%7c+buzzfile),Done
$5.59,$5.58,$0.32,$4.53,25,"Name normalization: MILLWORKS OC INC (current/primary, aliases: MillworksOC, Millworks OC Inc, Caprock Visalia CP3 Distribuit possibly related but identity ambiguous; matched via Procore as MillworksOC Anaheim CA). Identity verified: name (MillworksOC), city (Anaheim), state/zip (CA 92802). Maturity: C (16–40 years, based on industry context and governing class indicating established wood cabinet mfg). ZoomInfo [5] lists 'The Millwork' 11-50 employees but different entity (no Anaheim/1548 W Embassy match). Growjo unavailable in results. Procore [4] states 10-50 employees, matching entity/geography. No other priority sources (LinkedIn/PitchBook/Crunchbase) provide numeric counts. Single source <2 consensus; ZoomInfo/Growjo unusable; fallback to C floor=50 (enforced as final validation sets >=floor).","$22,329.95",,,,Yes,,,9881211,MILLWORKS OC INC CAPROCK VISALIA CP3 DISTRIBUTI,1542-1548 W EMBASSY ST 1548,ANAHEIM,CA,92802,Orange County,2812,CABINET MFG-WOOD,25,197,2/7/2026,60,5146,CABINET/FIXTURES INSTALLATION,8742,SALESPERSONS-OUTSIDE,24,137,23,80,22,78,21,116,MILLWORKS OC INC CAPROCK VISALIA CP3 DISTRIBUTI,http://www.google.com/search?q=MILLWORKS+OC+INC+CAPROCK+VISALIA+CP3+DISTRIBUTI+ANAHEIM+CA+92802+(manta+%7c+buzzfile),Done
$2.71,$0.21,$0.10,$1.69,75,"Company identity verified as MKT Innovations (current operating name/brand; aliases: M K T INNOVATIONS (DBA), MKT INNOVATIONS) using name/alias match and exact address (588 Porter Way, Placentia, CA 92870). Maturity: Founded 1978 (>40 years old = D class, floor=75). ZoomInfo unavailable/unusable (no result in provided sources). Growjo unavailable/unusable (no result). No usable numeric employee counts from priority sources (RocketReach reports 11, below floor and not priority). Lacking 2+ reputable sources with consensus ≥floor, applied floor fallback per rules.","$21,775.20",,,,Yes,,,2006563,M K T INNOVATIONS (DBA),588 PORTER WAY,PLACENTIA,CA,92870,Orange County,3632,MACHINE SHOPS,26,172,2/10/2026,-53,8810,CLERICAL OFFICE EMPLOYEES,8871,CLERICAL TELECOMMUTER EMPLOYEES,25,225,24,158,23,178,22,108,M K T INNOVATIONS (DBA),http://www.google.com/search?q=M+K+T+INNOVATIONS+(DBA)+PLACENTIA+CA+92870+(manta+%7c+buzzfile),Done
$4.67,0,0,$4.67,25,"Company identity verified as Harbor Heights Assisted Living & Memory Care (DBA), current operating name same, aliases: Harbor Heights, Harbor Heights Assisted Living and Memory Care; address 525 W La Palma Ave, Anaheim CA 92801 matches [1][2][3][4][5][6]. No ZoomInfo or Growjo in results (unusable). No usable numeric employee counts from any priority sources (Indeed mentions salaries from 7-19 employees/users but not total staff count). Maturity: C (16–40 years, based on licensed facility 306005579 operational history >16 years). Floor=50. Both ZoomInfo/Growjo unusable, no two other reputable sources with consensus numeric counts ≥floor, floor-based fallback per rules. Final validation: enforced ≥50.","$21,365.25",,,,Yes,,,9650695,(DBA) HARBOR HEIGHTS ASSISTED LIVING & MEMORY CARE,525 W LA PALMA AVE,ANAHEIM,CA,92801,Orange County,9070,RESIDENTIAL CARE FACILITIES-ELDERLY,26,183,2/12/2026,83,,,,,,,,,,,,,(DBA) HARBOR HEIGHTS ASSISTED LIVING & MEMORY CARE,http://www.google.com/search?q=(DBA)+HARBOR+HEIGHTS+ASSISTED+LIVING+%26+MEMORY+CARE+ANAHEIM+CA+92801+(manta+%7c+buzzfile),Done
$7.21,$0.32,$0.21,$4.43,25,"Company identity verified as **WEST COAST NATURALS, LLC** at 4585 Firestone Blvd, South Gate, CA 90280 (food products mfg/processing) using name/alias and exact street address/city/state/ZIP. No aliases, parents/subsidiaries, or name changes identified. Maturity: C (16–40 years, estimated from context as mid-sized legacy food manufacturer). ZoomInfo [1] matches entity (name, NAICS 424 food wholesale aligns with food mfg/processing, CA-based) and provides 1-10 employees (midpoint 5), but falls below C floor of 50; ZoomInfo [2] is wrong entity (Westcoast Naturals, Richmond BC Canada). Growjo unavailable in results. No other sources (LinkedIn, etc.) provide usable numeric counts for this entity/geography. Floor fallback applied per rules: ZoomInfo/Growjo had no usable numeric count ≥ floor; set to C floor of 50.","$20,608.80",,,,Yes,,,9223726,"WEST COAST NATURALS, LLC",4585 FIRESTONE BLVD,SOUTH GATE,CA,90280,Los Angeles County,6504,FOOD PRODUCTS MFG/PROCESSING,24,186,2/7/2026,45,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,23,141,22,121,21,,,,"WEST COAST NATURALS, LLC",http://www.google.com/search?q=WEST+COAST+NATURALS%2c+LLC+SOUTH+GATE+CA+90280+(manta+%7c+buzzfile),Done
$7.07,$0.32,$0.21,$4.35,25,"Company identity verified as BNA Color Industry Inc (aliases: BNA Color Industry, BNA Color Industry Inc) at 5000 District Blvd, Vernon, CA 90058 via name and address match (ZoomInfo confirms CA location; EDD CA Labor Market Info matches geography and industry). Maturity class C (16–40 years, based on long-term presence in directories like ZoomInfo). ZoomInfo provides 11-50 employees (usable per rules, matches entity/geography), but EDD (official CA state source) lists 50-99. ZoomInfo < C floor of 50; enforced floor per final validation rule (set to floor if employee_count < floor).","$20,218.20",,,,Yes,,,5519374,BNA COLOR INDUSTRY INC,5000 DISTRICT BLVD,VERNON,CA,90058,Los Angeles County,2585,DYEING,25,186,2/7/2026,51,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,24,135,23,157,22,87,21,64,BNA COLOR INDUSTRY INC,http://www.google.com/search?q=BNA+COLOR+INDUSTRY+INC+VERNON+CA+90058+(manta+%7c+buzzfile),Done
$5.26,0,0,$5.26,25,"Company identity verified as JVS Wines Imports Inc (current legal name), aliases: JVS Imports, JVS Wine & Spirit Imports. Matches: name/alias, exact address 360 Swift Ave Ste/Side B 9, South San Francisco CA 94080. Founded 1997 per [1], maturity C (16–40 years), floor=50. ZoomInfo [2][7] provides usable 11-50 employees (midpoint ~30) for exact entity/address; SignalHire [1] 10-50/25-100 consistent. RocketReach [5] 8 too low, outlier ignored. ZoomInfo primary source valid ≥floor. Used ~30 as representative integer.","$20,119.50",,,,Yes,,,198664,JVS WINES IMPORTS INC,360 SWIFT AVE SIDE B STE 9,SOUTH SAN FRANCISCO,CA,94080,San Mateo County,8041,STORES-WINE/SPIRITS-WHOLESALE,25,153,2/10/2026,20,,,,,24,133,23,96,22,76,21,77,JVS WINES IMPORTS INC,http://www.google.com/search?q=JVS+WINES+IMPORTS+INC+SOUTH+SAN+FRANCISCO+CA+94080+(manta+%7c+buzzfile),Done
