Bureau Number,Primary Name,Sources (EE),Sources (Revenue),Sources (POCs)
6534480,CARLSBAD EDUCATIONAL FOUNDATION,"1. https://growjo.com/company/Carlsbad_Educational_Foundation
2. https://www.zoominfo.com/pic/carlsbad-educational-foundation/27103822
3. https://www.zoominfo.com/c/carlsbad-educational-foundation/27103822
4. https://projects.propublica.org/nonprofits/organizations/953768448
5. https://carlsbad.org/Carlsbad-Educational-Foundation-puts-children-first/
6. https://www.causeiq.com/organizations/carlsbad-educational-foundation,953768448/
7. https://www.charitynavigator.org/ein/953768448
8. https://www.sdfoundation.org/community-impact/regional-affiliates/carlsbad-charitable-foundation/
9. https://publicpay.ca.gov/Reports/SpecialDistricts/SpecialDistrict.aspx?entityid=3357&year=2023&rpt=3",,
7328562,LAUREN MOSHI L.L.C.,"1. https://rocketreach.co/lauren-moshi-llc-profile_b5caa3a3f42e1425
2. https://rocketreach.co/lauren-moshi-llc-management_b5caa3a3f42e1425
3. https://www.zoominfo.com/c/lauren-moshi-llc/346120811
4. https://www.datanyze.com/companies/lauren-moshi/346120811
5. https://www.dnb.com/business-directory/company-profiles.lauren_moshi_llc.e2b9613063cf214b821f80b7a00d4d15.html
6. https://www.zoominfo.com/pic/lauren-moshi-llc/346120811
7. https://www.michaellaurenclothing.com/pages/terms-and-condition",,
7601848,"SYNTHETIC GENOMICS VACCINES, INC.","1. https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker-2025
2. https://www.synbiobeta.com
3. https://www.ycombinator.com/companies/industry/biotech
4. https://www.comparably.com/companies/synthetic-genomics",,
8583309,AUNT JOYS CAKES INC (A CORP),"1. https://www.zoominfo.com/c/aunt-joys-cakes/15995846
2. https://www.manta.com/c/mmd4g5c/aunt-joys-cakes
3. https://www.datanyze.com/companies/aunt-joys-cakes/15995846",,
9073677,STEWART HANDLING SYSTEMS INC (A CORP),"1. https://www.thomasnet.com/company/stewart-handling-systems-587897/profile
2. https://www.zoominfo.com/c/stewart-handling-systems-inc/343938781
3. https://leadiq.com/c/handling-systems-inc/5a1d99d72300005b0088be3e
4. https://www.indeed.com/cmp/stewart-handling-systems
5. https://www.stewarthandling.com/pallet-handling-equip",,
9174008,JOURNEY TOGETHER CARE HOME LLC,"1. https://www.dds.ca.gov/wp-content/uploads/2025/02/Group1_20250204.xlsx
2. https://www.officeonaging.ocgov.com/sites/officeonaging/files/2025-06/2025%20Adult%20Residential%20List%20(Upd-06.2025).pdf
3. https://homeless.lacounty.gov/job-listings/
4. https://suddath.com
5. https://www.lacada.com
6. https://www.mounthermon.org/events/family-camp
7. https://www.indeed.com/q-afternoon-jobs-l-baldwin-park,-ca-jobs.html
8. https://rv.campingworld.com/dealer/la-mirada-california",,
9637212,5 STAR SECURITY SERVICES DBA,"1. https://5starsecurityservices.com
2. https://www.indeed.com/cmp/Five-Star-Security/reviews
3. https://www.ziprecruiter.com/Jobs/5-Star-Security
4. https://www.indeed.com/cmp/5-Star-Security-Services,-Inc./salaries/Security-Officer
5. https://www.dir.ca.gov/wcab/wcab-Decisions.htm
6. https://www.wsls.com/news/politics/2026/02/09/the-latest-justice-department-will-allow-lawmakers-to-see-unredacted-epstein-files/
7. https://www.chanel.com/us/careers/",,
9668906,TRANSITION CARE INC,"1. https://www.indeed.com/cmp/Transition-Care-Telemetry,-Inc.
2. https://www.dir.ca.gov/osip/privateroster.pdf
3. https://lpconv.com
4. https://www.pbgc.gov/sites/default/files/documents/mp-transferred-plans.xlsx
5. http://publichealth.lacounty.gov/acd/SNFHonorsProgram/index.htm
6. https://www.cms.gov/medicare/health-safety-standards/certification-compliance/public-notices",,
9889123,"J ALEXANDER COLLECTION, INC.","1. https://www.zoominfo.com/c/j-alexanders-holdings-inc/3772795
2. https://www.zoominfo.com/pic/j-alexander-furniture/358782166
3. https://rocketreach.co/j-alexanders-restaurants-profile_b5dfd16df42e4910
4. https://www.zoominfo.com/c/j-alexander-furniture/358782166
5. https://restaurantbusinessonline.com/operations/j-alexanders-furloughs-3400-sales-free-fall
6. https://en.wikipedia.org/wiki/J._Alexander's
7. https://www.comparably.com/companies/j-alexander-s-holdings/reviews/team
8. https://www.jalexanders.com",,
9951647,"FOODS ON THE FLY, LLC (LLC)","1. https://www.zoominfo.com/pic/high-flying-foods-inc/346263450
2. https://www.craftydelivers.com/locations
3. https://www.irs.gov/pub/irs-pdf/p463.pdf
4. https://www.darlingii.com/enviroflight
5. https://en.wikipedia.org/wiki/Waymo",,
181769,"JEAN LARRIVEE GUITARS USA, INC.","1. https://www.zoominfo.com/c/jean-larrivee-guitars-usa-inc/22135836
2. https://www.zoominfo.com/pic/jean-larrivee-guitars-usa-inc/22135836
3. https://rocketreach.co/cf-martin-co-profile_b5c94c88f42e37ab
4. https://acousticguitar.com/larrivee-guitars/
5. https://southernvintageguitars.com/pages/history-of-larrivee-acoustic-guitars
6. https://www.larrivee.com
7. https://www.musicradar.com/news/guitars/jean-larrivee-talks-unconventional-tone-woods-606141",,
402256,PATRIOT ENVIRONMENTAL LABORATORY SERVICES INC (DBA),"1. https://www.indeed.com/cmp/Patriot-Environmental-Laboratory-Services
2. https://www.patriotenvironmental.com/why-work-at-patriot/
3. https://www.patriotenvironmental.com/career-opportunities/
4. https://www.indeed.com/cmp/Patriot-Environmental-Services/reviews
5. https://www.patriotenvironmental.com
6. https://www.zoominfo.com/pic/patriot-environmental-laboratory-services-inc/353511306
7. https://www.govinfo.gov/content/pkg/CREC-2019-09-26/pdf/CREC-2019-09-26.pdf",,
663987,BEE DARLIN' INC.,"1. https://www.zoominfo.com/c/bee-darlin-inc/363460316
2. https://rocketreach.co/bee-darlin-inc-management_b5f98c80f9c7e665
3. https://rocketreach.co/bee-darlin-inc-profile_b5f98c80f9c7e665
4. https://www.salary.com/research/company/hourly-wage-for-bee-darlin-inc
5. https://www.dnb.com/business-directory/company-profiles.bee_darlin_inc.5e172b5f295002890b0393f2332f82d5.html
6. https://rocketreach.co/bee-darlin-inc-profile_b4433dcafa0c7cb7
7. https://extratv.com/2026/01/23/warner-bros-discovery-s-say-yes-to-the-prom-is-back-for-2026/
8. https://www.wbd.com/news/dresses-dreams-warner-bros-discoverys-say-yes-prom-and-macys-bring-style-and-opportunity",,
1770589,ACE RUG & FURNITURE CLEANING CO. (DBA),"1. https://www.franklinreport.com/ReportCard.aspx?v=6076
2. https://www.angi.com/companylist/us/ca/culver-city/ace-rug-and-furniture-cleaning-reviews-2019813.htm
3. https://www.mapquest.com/us/california/ace-rug-furniture-cleaning-co-444000050
4. https://www.indeed.com/cmp/Ace-Carpet-Cleaning/reviews?fcountry=ALL",,
2590881,"ANDREASEN SECURITY SAFE, INC.","1. https://www.bbb.org/us/ca/hayward/profile/safe/andreasen-security-safe-inc-1116-877953
2. https://bubba.ai/trucking-companies/california/hayward/andreasen-security-safe-inc-2919520
3. https://www.highergov.com/awardee/andreasen-security-safe-inc-12474432/
4. https://securitysafeusa.com/meet-our-team
5. https://www.zoominfo.com/pic/security-safe-company-inc/249872844
6. https://www.mapquest.com/us/california/security-safe-11852883
7. https://www.sdge.com/sites/default/files/ISN%20COMPLIANT%20CONTRACTOR%20LIST_02JAN2026.pdf",,
4196920,NASTEC INTERNATIONAL INC,"1. https://rocketreach.co/nastec-international-inc-profile_b5cea6fff42e09be
2. https://www.cience.com/company/nastec-international/849568760849939182
3. https://www.zoominfo.com/c/nastec-international-inc/1142275651
4. https://www.zoominfo.com/pic/nastec-international-inc/1142275651
5. https://www.salary.com/research/company/nastec-international-inc-salary
6. https://www.salary.com/research/company/nastec-salary
7. https://certifiedelectronicstechnician.org/nastec-appliance-exams/
8. https://www.zoominfo.com/c/nastecaviationcom/346256276
9. https://www.datanyze.com/companies/nastec-international/346256276",,
5087357,"VICTIM RESTITUTION SERVICES, INC.","1. https://victims.ca.gov/restitution/
2. https://victims.ca.gov/for-victims/get-help/?vcb_resource_location=orange
3. https://www.indeed.com/viewjob?jk=1c96ea88fffffd5d
4. https://www.sandiegocounty.gov/content/dam/sdc/auditor/annual_report22/ACFR2022.pdf
5. https://www.police.uci.edu/clery/annual-reports/uci_security_report.pdf
6. https://pure.uva.nl/ws/files/180373013/9789048553860.pdf
7. https://lasaweb.org/uploads/0-lasa2025-program-may22-reduced-file-v5.pdf",,
5170730,CAREWORKS HEALTH SERVICES (A CORP),"1. https://growjo.com/company/CareWorks_Health_Services
2. https://www.careworkshealthservices.com/about/news/
3. https://www.zoominfo.com/c/careworks-health-services/400547465
4. https://www.indeed.com/cmp/Careworks-Health-Services/reviews
5. https://www.ziprecruiter.com/Jobs/Careworks
6. https://recruiting.paylocity.com/recruiting/jobs/All/d6486792-0b66-4493-a43f-c1fa351ed37f/Careworks-Health-Services-Careers-Page
7. https://www.communityresourcefinder.org/ProviderProfileView/Index?providerId=27E2407A20&profileDefinitionId=16",,
5194944,"SUNSET SIGNS AND PRINTING, INC.","1. https://www.zoominfo.com/pic/sunset-signs-and-printing-inc/344192301
2. https://www.zoominfo.com/c/sunset-signs-and-printing-inc/344192301
3. https://rocketreach.co/sunset-signs-profile_b5b88bdaf9b3348c
4. https://www.indeed.com/cmp/Sunset-Signs
5. https://www.privco.com/company/sunset-signs-printing_private_stock_annual_report_financials
6. https://www.cience.com/company/sunset-signs/-4604138189733589140
7. https://www.datanyze.com/companies/sunset-signs-and-printing/344192301",,
5384304,VISITING ANGELS OF EL CAJON (DBA),"1. https://www.zoominfo.com/c/visiting-angels/54149528
2. https://www.visitingangels.com/santee/employment
3. https://leadiq.com/c/visiting-angels/5a1d8d49540000590073eccc/employee-directory
4. https://web.hcaoa.org/Home-Care-Provider/Visiting-Angels-El-Cajon-5286
5. https://www.visitingangels.com/santee/home
6. https://www.visitingangels.com/santee/home-care-el-cajon
7. https://www.payscale.com/research/US/Employer=Visiting_Angels,_Inc./Salary
8. https://www.visitingangels.com/santee/contact-us
9. https://www.aplaceformom.com/community/visiting-angels-of-el-cajon-ca-153262",,
5460860,CORONA ORANGE FOODS HOLDINGS LLC,"1. https://www.dnb.com/business-directory/company-profiles.corona-orange_foods_intermediate_holdings_llc.17e9482504dedf724fda70985904c69c.html
2. https://winecountrytimes.com/corona-orange-foods-intermediate-holdings-llc-in-corona-california-receives-fda-inspection/
3. https://reyesholdings.com
4. https://reyesbeveragegroup.com
5. https://incfact.com/company/coronaorangefoods-chicago-il/
6. https://fortune.com/ranking/fortune500/
7. https://www.quiktrip.com
8. https://m.ruthschris.com/home",,
5519374,BNA COLOR INDUSTRY INC,"1. https://www.zoominfo.com/c/bna-color-industry-inc/410343311
2. https://labormarketinfo.edd.ca.gov/aspdotnet/databrowsing/empDetails.aspx?menuChoice=emp&empid=406156683&geogArea=0601000000
3. https://staffdna.com
4. https://www.sqfi.com/our-program/what-is-sqf
5. https://www.seyfarth.com/people/howard-m-wexler.html
6. https://www.vastian.com/laboratories/market-overview
7. https://klehr.com/people/mark-e-berg/
8. https://muskegon-mi.gov
9. https://www.arclin.com",,
6515541,"CAL WEST COMMERCIAL APPLIANCE AND REFRIGERATION HVAC SERVICE, INC.","1. https://www.buildzoom.com/contractor/cal-west-commercial-appliance-refrigeration-service-inc
2. https://calwestrefrigeration.com
3. https://www.zoominfo.com/pic/cal-west-service-inc/17288837
4. https://calwestservice.nc1.4ib.me
5. https://jobs.trivalleycareercenter.org/employment/cal-west-commercial-appliance-and-refrigeration-sv-profile-3075.aspx
6. https://www.acgov.org/gsaapp/purchasing/bidContent_ftp/rfpDocs/3054_RFP%23902593_AttendeesList.docx",,
8548376,"DESERT CANYON POST ACUTE, LLC","1. https://www.zoominfo.com/c/desert-canyon-post-acute/480479917
2. https://www.datanyze.com/companies/desert-canyon-post-acute/480479917
3. https://projects.propublica.org/nursing-homes/homes/h-055307
4. https://hcai.ca.gov/facility/lancaster-health-care-center/
5. https://www.indeed.com/cmp/Desert-Canyon-Post-Acute/reviews
6. https://www.medicare.gov/care-compare/details/nursing-home/055307/view-all?state=CA
7. https://starpro.io/SA/DESERT_CANYON_POST_ACUTE_LLC_055307",,
8766355,PACIFIC UNIFORM SERVICE LLC DBA JOMAR TABLE LINEN,"1. https://www.ziprecruiter.com/c/Pacific-Laundry-Service/Job/Delivery-Route-Driver/-in-Carson,CA?jid=6ce2df37f8a48326
2. https://www.indeed.com/cmp/Pacific-Uniform
3. https://www.pacificuniform.com
4. https://www.warntracker.com/company
5. https://www.zoominfo.com/c/pacific-uniform-ordering/527970202
6. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3025443
7. https://www.fda.gov/media/190878/download
8. https://www.ocwd.com/wp-content/uploads/WIC_20251008-1.pdf
9. https://attorneygenerallynnfitch.com/wp-content/uploads/2021/11/Final-Distributor-Settlement-Agreement-Distributors-8.13-Exhibit-Updates.pdf",,
8774524,"AMERICAN JEANS MANUFACTURER, INC.","1. https://en.wikipedia.org/wiki/AG_Jeans
2. https://www.zoominfo.com/c/good-american-llc/406690612
3. https://www.usitc.gov/publications/332/working_papers/id-085_denim_apparel_trade_and_production_final-compliant.pdf
4. https://www.gapinc.com/en-us/about/leadership/executive-leadership-team
5. https://crossroadstrading.com
6. https://www.nationalmssociety.org
7. https://www.vfc.com
8. https://www.rescue.org
9. https://www.thereformation.com/careers.html",,
9223726,"WEST COAST NATURALS, LLC","1. https://www.zoominfo.com/c/west-coast-naturals-llc/1237479193
2. https://www.zoominfo.com/c/westcoast-naturals/80920593
3. https://www.sandiego.gov/sites/default/files/tr_recent.pdf
4. https://massgaming.com/wp-content/uploads/Vendor-List-1-8-25.pdf
5. https://veseris.com/default/resources/post/formosan-subterranean-termite
6. https://www.unfi.com",,
9588214,THE QUALITY FIRM/AC SERVICES,"1. https://www.signalhire.com/companies/the-quality-firm
2. https://rocketreach.co/the-quality-firm-profile_b43b0f2dc1908ac4
3. https://www.qualityref.com/meet-team/
4. https://www.zoominfo.com/c/the-quality-firm/546892192
5. https://www.zoominfo.com/pic/the-quality-firm/546892192
6. https://thequalityfirm.com/about/
7. https://thequalityfirm.com
8. https://thequalityfirm.com/services/qc-qa/",,
9632170,DBA STEP BY STEP CULTURAL ARTS,"1. https://www.indeed.com/q-step-by-step-cultural-arts-l-san-bernardino,-ca-jobs.html
2. https://stepbystepculturalarts.com/careers
3. https://stepbystepculturalarts.com
4. https://www.indeed.com/q-gallery-assistant-l-hemet,-ca-jobs.html
5. https://www.federalregister.gov/fr_index/pdf/2025/07/fr-index-July-2025.pdf",,
9881211,MILLWORKS OC INC CAPROCK VISALIA CP3 DISTRIBUTI,"1. https://www.anythingresearch.com/industry/Custom-Architectural-Woodwork-Millwork-Manufacturing.htm
2. https://en.wikipedia.org/wiki/Home_Depot
3. https://www.ziprecruiter.com/Jobs/Millwork-Salary
4. https://www.procore.com/network/p/millworksoc-anaheim
5. https://www.zoominfo.com/c/the-millwork-company-inc/411554154
6. https://www.marylandsaves.org/wp-content/uploads/2025/12/2026-Annual-Report-Fee-Waivers-12112025.pdf
7. https://www.sierrafp.com/Brands/murphy
8. https://www.gsa.gov/system/files/2018_P100_Final_5-7-19_compressed.pdf",,
273680,DMS BUILDING CONSTRUCTION CLEAN UP (DBA),"1. https://www.buildzoom.com/contractor/dms-building-maintenance-inc
2. https://dmsjanitorial.com
3. https://dmsjanitorial.com/about/
4. https://www.bbb.org/us/ca/placentia/profile/janitor-service/dms-building-maintenance-inc-1126-100121593
5. https://dms251.com/capabilities/
6. https://www.manta.com/c/mx5xl8h/dms-janitorial-services-building-maintenance-inc
7. https://www.zoominfo.com/c/dms-building-maintenance-inc/348581616","1. https://www.buildzoom.com/contractor/dms-building-maintenance-inc
2. https://www.bbb.org/us/ca/placentia/profile/janitor-service/dms-building-maintenance-inc-1126-100121593
3. https://dmsjanitorial.com/about/
4. https://www.dmsfacilityservices.com
5. https://www.zoominfo.com/c/dms-building-maintenance-inc/348581616
6. https://www.mapquest.com/us/california/dms-352401863
7. https://dmsjanitorial.com/locations/
8. https://www.privco.com/company/dms-building-maintenance-dba-dms-construction-clean-up
9. https://dmsjanitorial.com"",
10. https://www.zoominfo.com/c/dms-building-maintenance-inc/348581616"",
11. https://www.buildzoom.com/contractor/dms-building-maintenance-inc"",
12. https://www.bbb.org/us/ca/placentia/profile/janitor-service/dms-building-maintenance-inc-1126-100121593"",
13. https://dmsjanitorial.com/about/"",
14. https://www.privco.com/company/dms-building-maintenance-dba-dms-construction-clean-up""",
2039965,TECHIQUE KIDS SPORTS & ACTIVITY CENTER,"1. https://www.indeed.com/q-gymnastics-l-los-angeles,-ca-jobs.html
2. https://www.teamworkonline.com/jobs-in-sports
3. https://www.mlb.com/astros/team/front-office
4. https://www.activityhero.com/biz/8935-technique-gymnastics-rancho-cordova-ca
5. https://ballmergroup.org/our-grants/",,
2093688,ANTELOPE VALLEY DOMESTIC VIOLENCE COUNCIL INC (NONPROFIT CORP),"1. https://projects.propublica.org/nonprofits/organizations/953582588
2. https://www.zoominfo.com/pic/valley-oasis-inc/3524180
3. https://rocketreach.co/antelope-valley-domestic-violence-council-management_b4586d83fc5d4d05
4. https://ceo.lacounty.gov/wp-content/uploads/2022/04/CBO-Database-2.0.pdf
5. https://www.indeed.com/cmp/Antelope-Valley-Domestic-Violence-Council
6. https://www.guidestar.org/profile/95-3582588
7. https://www.valleyoasis.org
8. https://www.datanyze.com/companies/valley-oasis/3524180",,
2217981,"METROPOLITAN AREA ADVISORY COMMITTEE ON ANTI-POVERTY OF SAN DIEGO COUNTY, INC.","1. https://projects.propublica.org/nonprofits/organizations/952457354
2. https://maacproject.org
3. https://www.causeiq.com/organizations/metropolitan-area-advisory-committee-on-anti-pover,952457354/
4. https://www.kpbs.org/news/economy/2026/01/22/san-diego-announces-assistance-program-for-annual-trash-and-recycling-fees
5. https://maacproject.org/wp-content/uploads/2025/10/RFP_Workshop-Presenter_Impact-Conference-2026.pdf
6. https://www.usaspending.gov/recipient/a7afc6a7-159d-c069-d4fe-959e9985a1b8-P/latest
7. https://sdhc.org/101_crest-on-imperial_final/
8. https://www.sandiegocounty.gov/content/dam/sdc/bos/agenda/sop/02102026%20General%20Legislative%20Session%20SOP.pdf",,
2600846,"STONE BLUE, INC.","1. https://edd.ca.gov/siteassets/files/jobs_and_training/warn/warn_report1.xlsx
2. https://www.blackstone.com/careers/students/
3. https://www.westlake.com
4. https://www.ironmountain.com
5. https://www.cushmanwakefield.com/en/united-states/people
6. https://www.dol.gov/agencies/whd/government-contracts/prevailing-wage-resource-book/db-wage-determinations
7. https://www.doi.gov",,
2842441,FIVE KEYS SCHOOLS AND PROGRAMS,"1. https://rocketreach.co/five-keys-schools-and-programs-profile_b5a79904f68440d0
2. https://www.zoominfo.com/c/five-keys/1157965581
3. https://www.guidestar.org/profile/81-0622701
4. https://www.highergov.com/awardee/five-keys-schools-and-programs-13317608/
5. https://www.fivekeyscharter.org
6. https://projects.propublica.org/nonprofits/organizations/810622701
7. https://www.causeiq.com/organizations/the-san-francisco-sheriffs-department-five-keys-ch,810622701/
8. https://app.candid.org/profile/8227800/five-keys-schools-and-programs/?pkId=40928448-a231-41cb-a976-19f42600dfa7&isActive=true
9. https://projects.propublica.org/nonprofits/organizations/810622701/202531349349308473/full",,
5628862,THE TEEN PROJECT,"1. https://www.indeed.com/cmp/The-Teen-Project
2. https://projects.propublica.org/nonprofits/organizations/300421837
3. https://www.dnb.com/business-directory/company-profiles.the_teen_project_inc.47da7866e1279c520a5115614f9e1e48.html
4. https://www.zoominfo.com/pic/the-teen-project-inc/348731739
5. https://www.clearinghousecdfi.com/impact_story/the-teen-project-vannuys-ca/
6. https://www.zoominfo.com/c/the-teen-project-inc/348731739
7. https://www.charitynavigator.org/ein/300421837
8. https://theteenproject.org/about-us/
9. https://projects.propublica.org/nonprofits/organizations/300421837/201442139349301254/full",,
6235712,CALIFORNIA DRUG CONSULTANTS INC.,"1. https://www.causeiq.com/organizations/moreno-valley-assisted-living-facil,953175546/
2. https://projects.propublica.org/nonprofits/organizations/953175546
3. https://docrepo.rccd.edu/soc/26WIN-mvc.pdf
4. https://www.pagatracker.com/employer_details?name=California+Drug+Consultants%2C+Inc
5. https://www.primecaremedical.com
6. https://www.mcknightsseniorliving.com/news/2-5m-judgment-against-operator-for-residents-serious-and-painful-injuries-results-in-changes-to-practices-contracts/
7. https://moval.gov/departments/financial-mgmt-svcs/fin-pdf/budget-25-26/BudgetReference-ProposedBudget-FY25-27.pdf
8. https://oag.ca.gov/privacy/databreach/list",,
7661143,"DEL REY FUEL, LLC DBA DEL REY LANDING","1. https://www.energy.gov/sites/default/files/2025-06/doe-fy-2026-bib-v6.pdf
2. https://www.dla.mil/Energy/
3. https://www.ces.tech/press-releases/ces-2026-the-future-is-here
4. https://imigroup.com
5. https://www.federalregister.gov/documents/2025/06/17/2025-11128/renewable-fuel-standard-rfs-program-standards-for-2026-and-2027-partial-waiver-of-2025-cellulosic
6. https://suntex.com
7. https://www.transportation.gov",,
8574228,NEW HOPE FOR YOUTH,"1. https://growjo.com/company/Hope_For_Youth
2. https://www.causeiq.com/directory/youth-development-organizations-list/san-jose-sunnyvale-santa-clara-ca-metro/
3. https://projects.propublica.org/nonprofits/organizations/371737287
4. http://www.newhopeforyouth.org/staff
5. http://www.newhopeforyouth.org/career
6. https://www.causeiq.com/organizations/new-hope-for-youth,371737287/
7. https://www.guidestar.org/profile/37-1737287
8. https://projects.propublica.org/nonprofits/organizations/371737287/202542799349302304/full
9. http://www.newhopeforyouth.org",,
8614107,NEW BEGINNINGS SUPPORTED LIVING SERVICES INC,"1. https://www.ziprecruiter.com/c/New-Beginnings-Supported-Living-Ser/Job/Scheduling-On-Call-Specialist/-in-Camarillo,CA?jid=30d6197ec6cfd582
2. https://www.indeed.com/cmp/New-Beginnings-Home-Care/reviews
3. https://thenewbeginningscenter.com/our-staff/
4. https://www.begnew.com/supported-living-services
5. https://www.indeed.com/q-new-beginnings-supported-living-ser-l-ojai,-ca-jobs.html
6. https://thenewbeginningscenter.com/careers/
7. https://www.ziprecruiter.com/Jobs/New-Beginnings/--in-California",,
9521282,"PAOLINO LOGISTICS, LLC","1. https://www.indeed.com/cmp/Paolino-Logistics
2. https://www.indeed.com/cmp/Paolino-Logistics/reviews
3. https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/h-2b_fy14_q3.xlsx
4. https://paolinodelivery.com
5. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3496773
6. https://www.indeed.com/cmp/Paolino-Logistics/reviews?ftopic=mgmt
7. https://roomtax.tourism.pr.gov/exemption_reqs.php?lan=en
8. https://www.tips-usa.com/assets/Commoditypdf/220702_Temporary_Flood_Barriers_BIDRESP.pdf",,
9680713,STAR KLEEN PRESSURE WASHING LLC,"1. https://www.zoominfo.com/c/startkleen-llc/355025184
2. https://www.keptcompanies.com
3. https://xtreme-kleen-pressure-washing.wheree.com
4. https://www.allstarpowerwashsd.com
5. https://www.youtube.com/watch?v=MtdHrzFHbw8
6. https://www.housecallpro.com/resources/how-to-start-window-cleaning-business/
7. https://www.hunton.com/the-nickel-report/what-to-watch-for-in-2026-extended-producer-responsibility-epr-a-legal-bombshell-to-start-off-2026
8. https://www.dell.com/en-us/lp/dt/reports-and-resources",,
9923915,"HANIL ECO SOLUTIONS, INC.","1. https://rocketreach.co/hong-yoon-email_48397552
2. https://www.keppel.com/en/file/media/media-releases-sgx/2022/08-aug/8-august-kit-presentation/kit-proposed-acquisition-of-emk.pdf
3. https://www.epiroc.com/en-us/customer-stories
4. https://sk-inc.com/_upload/ACTL/09759f03-98bf-44d9-b233-f1d98bb5aa4b.pdf
5. https://seoyoneh.com/html/_file/Sustainability%20Report_2025_Seoyon%20E-hwa_EN.pdf",,
